variable,data_type,description,disposition,topic,subtopic,record_level
THEQ_RENT,Numeric,"Household-level sum of equity in rental properties (TEQ_RENT) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THEQ_VEH,Numeric,"Household-level sum of equity in vehicles (TEQ_VEH) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THINC_AST,Numeric,"Household-level sum of income earned over the reference period from all assets (TINC_AST) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THINC_BANK,Numeric,"Household-level sum of income earned over the reference period from interest-earning assets held at financial institutions (TINC_BANK) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THINC_BOND,Numeric,"Household-level sum of income earned over the reference period from other interest-earning assets (TINC_BOND) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THINC_OTH,Numeric,"Household-level sum of income earned over the reference period from other assets (TINC_OTH) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THINC_RENT,Numeric,"Household-level sum of net income from rental properties (TINC_RENT) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THINC_STMF,Numeric,"Household-level sum of income earned over the reference period from stocks and mutual funds (TINC_STMF) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THNETWORTH,Numeric,"Household-level net worth [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_AST,Numeric,"Household-level sum of all asset values (TVAL_AST) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_BANK,Numeric,"Household-level sum of value of assets held at financial institutions (TVAL_BANK) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_BOND,Numeric,"Household-level sum of value of other interest-earning assets (TVAL_BOND) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_BUS,Numeric,"Household-level sum of value of businesses (TVAL_BUS) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_ESAV,Numeric,"Household-level sum of value of educational savings accounts (TVAL_ESAV) in which a household member is the owner (as indicated by the variables EESAV(i)OWNER for i=1,2,3) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_HOME,Numeric,"Household-level sum of value of primary residence (TVAL_HOME) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_OTH,Numeric,"Household-level sum of value of other assets (TVAL_OTH) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_RE,Numeric,"Household-level sum of value of other real estate (TVAL_RE) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_RENT,Numeric,"Household-level sum of value of rental properties (TVAL_RENT) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_RET,Numeric,"Household-level sum of value of retirement accounts (TVAL_RET) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_RMU,Numeric,"Household-level sum of rent, mortgage, and utility payments in December of the reference period (TVAL_RMU) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_STMF,Numeric,"Household-level sum of value of stocks and mutual funds (TVAL_STMF) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THVAL_VEH,Numeric,"Household-level sum of value of all vehicles (TVAL_VEH) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
TINC_AST,Numeric,"Person-level sum of income earned over the reference period from all assets (TINC_BANK, TINC_BOND, TINC_STMF, TINC_RENT, TINC_OTH).",1,Assets,Assets Recodes,Person
TINC_BANK,Numeric,"Person-level sum of income earned over the reference period from interest-earning assets held at financial institutions (TJSCHKINC, TJOCHKINC, TOCHKINC, TJSSAVINC, TJOSAVINC, TOSAVINC, TJSMMINC, TJOMMINC, TOMMINC, TJSCDINC, TJOCDINC, TOCDINC).",2,Assets,Assets Recodes,Person
TINC_BOND,Numeric,"Person-level sum of income earned over the reference period from other interest-earning assets (TJSGOVSINC, TJOGOVSINC, TOGOVSINC, TJSMCBDINC, TJOMCBDINC, TOMCBDINC).",2,Assets,Assets Recodes,Person
TINC_OTH,Numeric,"Person-level sum of income earned over the reference period from other assets (TOINVINC, TANNINC, TTRINC).",1,Assets,Assets Recodes,Person
TINC_RENT,Numeric,"Person-level sum of net income from rental properties (TJSRPNETINC, TJORPNETINC, TORPNETINC).",1,Assets,Assets Recodes,Person
TINC_STMF,Numeric,"Person-level sum of income earned over the reference period from stocks and mutual funds (TJSSTINC, TJOSTINC, TOSTINC, TJSMFINC, TJOMFINC, TOMFINC).",1,Assets,Assets Recodes,Person
TNETWORTH,Numeric,"Person-level net worth (TVAL_AST, -TDEBT_AST).",1,Assets,Assets Recodes,Person
TVAL_AST,Numeric,"Person-level sum of all asset values (TVAL_BANK, TVAL_STMF, TVAL_BOND, TVAL_RENT, TVAL_RE, TVAL_OTH, TVAL_RET, TVAL_BUS, TVAL_HOME, TVAL_VEH, TVAL_ESAV).",1,Assets,Assets Recodes,Person
TVAL_BANK,Numeric,"Person-level sum of value of assets held at financial institutions (TJSSAVVAL, TJOSAVVAL, TOSAVVAL, TJSMMVAL, TJOMMVAL, TOMMVAL, TJSCDVAL, TJOCDVAL, TOCDVAL, TJSCHKVAL, TJOCHKVAL, TOCHKVAL).",1,Assets,Assets Recodes,Person
TVAL_BOND,Numeric,Person-level sum of value of other interest-earning assets (TJSGOVSVAL TJOGOVSVAL TOGOVSVAL TJSMCBDVAL TJOMCBDVAL TOMCBDVAL).,1,Assets,Assets Recodes,Person
TVAL_BUS,Numeric,Person-level sum of value of businesses in which the person owns a share (TBSI(i)PEROWN/100*TBSI(i)VAL (for i=1 to 3) + TBSJ(j)PEROWN/100*TBSJ(j)VAL (for j=1 to 7) ).,2,Assets,Assets Recodes,Person
TVAL_ESAV,Numeric,"Person-level sum of value of educational savings accounts (TESAV(i)VAL for i=1,2,3) in which the person is the owner (as indicated by the variables EESAV(i)OWNER for i=1,2,3).",2,Assets,Assets Recodes,Person
TVAL_HOME,Numeric,Person-level sum of value of primary residence (either TPROPVAL or TMHVAL) in which the person is an owner of the residence. The home's value is divided equally among its total number of owners.,2,Assets,Assets Recodes,Person
TVAL_OTH,Numeric,"Person-level sum of value of other assets (TOINVVAL, TANNVAL, TTRVAL, TLIFE_CVAL).",1,Assets,Assets Recodes,Person
TVAL_RE,Numeric,"Person-level sum of value of other real estate (TJSREVAL, TJOREVAL, TOREVAL).",1,Assets,Assets Recodes,Person
TVAL_RENT,Numeric,"Person-level sum of value of rental properties (TJSRPVAL, TJORPVAL, TORPVAL).",1,Assets,Assets Recodes,Person
TVAL_RET,Numeric,"Person-level sum of value of retirement accounts (TTHR401VAL, TIRAKEOVAL).",1,Assets,Assets Recodes,Person
TVAL_RMU,Numeric,"Person-level sum of rent, mortgage, and utility payments in December of the reference period (the value of TRMU_AMT(i) in which ERMU_PAYER(i)=PNUM for i=1,2,3).",1,Assets,Assets Recodes,Person
TVAL_STMF,Numeric,"Person-level sum of value of stocks and mutual funds (TJSSTVAL, TJOSTVAL, TOSTVAL, TJSMFVAL, TJOMFVAL, TOMFVAL).",1,Assets,Assets Recodes,Person
TVAL_VEH,Numeric,"Person-level sum of value of all vehicles in which the person owns a share (as indicated by the variables EVEH(i)OWNER(j) for i=1,2,3 and j=1,2,3 and E(AST)OWNER(j) for AST=MCYC, BOAT, RV, OREC and j=1,2,3). Each vehicle's value (TVEH(i)VAL for i=1,2,3 and T(AST)VAL for AST=MCYC, BOAT, RV, OREC) is divided equally among its total number of owners.",1,Assets,Assets Recodes,Person
TBUS_INV_NUM,Numeric,Number of businesses owned as an investment only.,1,Assets,Business Value or Debt,Person
EBSI1PEROWN,Numeric,Percentage ownership of 1st business/es owned as investment only.,0,Assets,Business Value or Debt Details,Person
EBSI2PEROWN,Numeric,Percent ownership of second business owned as an investment only as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
EBSI3PEROWN,Numeric,Percent ownership of third business owned as an investment only as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
EBSJ1PEROWN,Numeric,Percent ownership of first business owned as a job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
EBSJ2PEROWN,Numeric,Percent ownership of second business owned as a job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
EBSJ3PEROWN,Numeric,Percent ownership of third business owned as a job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
EBSJ4PEROWN,Numeric,Percent ownership of fourth business owned as a job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
EBSJ5PEROWN,Numeric,Percent ownership of fifth business owned as a job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSI1DEBTVAL,Numeric,Amount of debt against the first business owned as an investment only as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSI1VAL,Numeric,Value of first business owned as an investment only as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSI2DEBTVAL,Numeric,Amount of debt against the second business owned as an investment only as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSI2VAL,Numeric,Value of second business owned as an investment only as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSI3DEBTVAL,Numeric,Amount of debt against the third business owned as an investment only as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSI3VAL,Numeric,Value of third business owned as an investment only as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSJ1DEBTVAL,Numeric,Amount of debt against the first business owned as job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSJ1VAL,Numeric,Value of first business owned as a job as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSJ2DEBTVAL,Numeric,Amount of debt against the second business owned as job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSJ2VAL,Numeric,Value of second business owned as a job as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSJ3DEBTVAL,Numeric,Amount of debt against the third business owned as job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSJ3VAL,Numeric,Value of third business owned as a job as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSJ4DEBTVAL,Numeric,Amount of debt against the fourth business owned as job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSJ4VAL,Numeric,Value of fourth business owned as a job as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
TBSJ5DEBTVAL,Numeric,Amount of debt against the fifth business owned as job as of the end of the reference period.,0,Assets,Business Value or Debt Details,Person
TBSJ5VAL,Numeric,Value of fifth business owned as a job as of the last day of the reference period [not including debts against the business].,0,Assets,Business Value or Debt Details,Person
EVEH1DEBT,Numeric,"Whether any money was owed on the first vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
EVEH1USE,Numeric,"Whether the primary use of the first vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
EVEH2DEBT,Numeric,"Whether any money was owed on the second vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
EVEH2USE,Numeric,"Whether the primary use of the second vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
EVEH3DEBT,Numeric,"Whether any money was owed on the third vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
EVEH3USE,Numeric,"Whether the primary use of the third vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
TVEH1DEBTVAL,Numeric,"Amount owed on the first vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
TVEH2DEBTVAL,Numeric,"Amount owed on the second vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
TVEH3DEBTVAL,Numeric,"Amount owed on the third vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Cars and Trucks,Household
EOWN_VEH,Numeric,"Whether any member of the household was the owner of a car, truck, or van during the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH1OWNER1,Numeric,"First owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH1OWNER2,Numeric,"Second owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH1OWNER3,Numeric,"Third owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH2OWNER1,Numeric,"First owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH2OWNER2,Numeric,"Second owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH2OWNER3,Numeric,"Third owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH3OWNER1,Numeric,"First owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH3OWNER2,Numeric,"Second owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EVEH3OWNER3,Numeric,"Third owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
TVEH1VAL,Numeric,"Value of the first vehicle in December of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
TVEH1_YEAR,Numeric,Model year of the first vehicle that was reported,0,Assets,"Cars, Trucks, and Vans",Household
TVEH2VAL,Numeric,"Value of the second vehicle in December of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
TVEH2_YEAR,Numeric,Model year of the second vehicle that was reported,0,Assets,"Cars, Trucks, and Vans",Household
TVEH3VAL,Numeric,"Value of the third vehicle in December of the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
TVEH3_YEAR,Numeric,Model year of the third vehicle that was reported,0,Assets,"Cars, Trucks, and Vans",Household
TVEH_NUM,Numeric,"Number of cars, trucks, or vans owned by the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,"Cars, Trucks, and Vans",Household
EOCCDEBT,Numeric,Owed any money for credit cards or store bills in own name only during the reference period.,2,Assets,Credit Card Debt - Self,Person
TOCCDEBTVAL,Numeric,Amount of credit card and store bills owed in own name only as of the last day of the reference period.,2,Assets,Credit Card Debt - Self,Person
TOCCDT_MED,Numeric,Median of topcoded values for TOCCDEBTVAL,0,Assets,Credit Card Debt - Self,Person
TOCCDT_STD,Numeric,Standard deviation of topcoded values for TOCCDEBTVAL,0,Assets,Credit Card Debt - Self,Person
EOEDDEBT,Numeric,Owed any money for student loans or educational expenses in own name only during the reference period.,2,Assets,Educational Debt - Self,Person
TOEDDEBTVAL,Numeric,Amount of student loans or educational expenses owed in own name only as of the last day of the reference period.,2,Assets,Educational Debt - Self,Person
TOEDDT_MED,Numeric,Median of topcoded values for TOEDDEBTVAL (by demographic group),0,Assets,Educational Debt - Self,Person
TOEDDT_STD,Numeric,Standard deviation of topcoded values for TOEDDEBTVAL (by demographic group),0,Assets,Educational Debt - Self,Person
EESAV1BENEF,Numeric,"Beneficiary of the first educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EESAV1OWNER,Numeric,"Owner of the first educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EESAV2BENEF,Numeric,"Beneficiary of the second educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EESAV2OWNER,Numeric,"Owner of the second educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EESAV3BENEF,Numeric,"Beneficiary of the third educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EESAV3OWNER,Numeric,"Owner of the third educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EOWN_ESAV,Numeric,"Whether any member of the household was the owner or beneficiary of an educational savings account [such as 529 and Coverdell accounts; this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
TESAV1VAL,Numeric,"Value of first educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
TESAV2VAL,Numeric,"Value of second educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
TESAV3VAL,Numeric,"Value of third educational savings account of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
TESAV_NUM,Numeric,"Number of educational savings accounts of which a household member was either the owner or beneficiary [this is household-level data, therefore this value is copied to every member of the household].",0,Assets,Educational Savings Accounts,Household
EJOOWNCD,Numeric,Owned any certificates of deposit jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Bank Accounts,Person
EJOOWNCHK,Numeric,Owned any checking accounts jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Bank Accounts,Person
EJOOWNGOVS,Numeric,Owned any government securities jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Bank Accounts,Person
EJOOWNMCBD,Numeric,Owned any municipal or corporate bonds jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Bank Accounts,Person
EJOOWNMM,Numeric,Owned any money market deposit accounts or money market funds jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Bank Accounts,Person
EJOOWNSAV,Numeric,Owned any savings accounts jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Bank Accounts,Person
EJSOWNCD,Numeric,"Owned any certificates of deposit jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",2,Assets,Joint Bank Accounts,Person
EJSOWNCHK,Numeric,"Owned any checking accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",2,Assets,Joint Bank Accounts,Person
EJSOWNGOVS,Numeric,"Owned any government securities jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",2,Assets,Joint Bank Accounts,Person
EJSOWNMCBD,Numeric,"Owned any municipal or corporate bonds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",2,Assets,Joint Bank Accounts,Person
EJSOWNMM,Numeric,"Owned any money market deposit accounts or money market funds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",2,Assets,Joint Bank Accounts,Person
EJSOWNSAV,Numeric,"Owned any savings accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",2,Assets,Joint Bank Accounts,Person
EOOWNCD,Numeric,Owned any certificates of deposit individually during the reference period.,1,Assets,Joint Bank Accounts,Person
EOOWNCHK,Numeric,Owned any checking accounts individually during the reference period.,1,Assets,Joint Bank Accounts,Person
EOOWNGOVS,Numeric,Owned any government securities individually during the reference period.,1,Assets,Joint Bank Accounts,Person
EOOWNMCBD,Numeric,Owned any municipal or corporate bonds individually during the reference period.,1,Assets,Joint Bank Accounts,Person
EOOWNMM,Numeric,Owned any money market deposit accounts or money market funds individually during the reference period.,1,Assets,Joint Bank Accounts,Person
EOOWNSAV,Numeric,Owned any savings accounts individually during the reference period.,1,Assets,Joint Bank Accounts,Person
EJSCCDEBT,Numeric,Owed any money for credit cards or store bills jointly with a spouse or civil union partner during the reference period.,2,Assets,Joint Credit Card Debt,Person
TJSCCDEBTVAL,Numeric,Share of credit card debt or store bills owed jointly with a spouse or civil union partner as of the last day of the reference period.,2,Assets,Joint Credit Card Debt,Person
TJSCCDT_MED,Numeric,Median of topcoded values for TJSCCDEBTVAL,0,Assets,Joint Credit Card Debt,Person
TJSCCDT_STD,Numeric,Standard deviation of topcoded values for TJSCCDEBTVAL,0,Assets,Joint Credit Card Debt,Person
EJSEDDEBT,Numeric,Owed any money for student loans or educational expenses jointly with a spouse or civil union partner during the reference period.,2,Assets,Joint Educational Debt,Person
TJSEDDEBTVAL,Numeric,Share of student loans or educational expenses owed jointly with a spouse or civil union partner as of the last day of the reference period.,0,Assets,Joint Educational Debt,Person
TJSEDDT_MED,Numeric,Median of topcoded values for TJSEDDEBTVAL,0,Assets,Joint Educational Debt,Person
TJSEDDT_STD,Numeric,Standard deviation of topcoded values for TJSEDDEBTVAL,0,Assets,Joint Educational Debt,Person
EJOOWNMF,Numeric,Owned any mutual funds jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Mutual Funds and Stocks,Person
EJOOWNST,Numeric,Owned any stocks jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,1,Assets,Joint Mutual Funds and Stocks,Person
EJSOWNMF,Numeric,"Owned any mutual funds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",1,Assets,Joint Mutual Funds and Stocks,Person
EJSOWNST,Numeric,"Owned any stocks jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint ownership question is asked of only one spouse or partner, and this response is copied to both spouses'/partners' records].",1,Assets,Joint Mutual Funds and Stocks,Person
EOOWNMF,Numeric,Owned any mutual funds individually during the reference period.,1,Assets,Joint Mutual Funds and Stocks,Person
EOOWNST,Numeric,Owned any stocks individually during the reference period.,1,Assets,Joint Mutual Funds and Stocks,Person
EJSOTDEBT,Numeric,Owed any money for other debts jointly with a spouse or civil union partner during the reference period.,1,Assets,Joint Other Debt,Person
TJSOTDEBTVAL,Numeric,Share of other debts owed jointly with a spouse or civil union partner as of the last day of the reference period.,2,Assets,Joint Other Debt,Person
TJSOTDT_MED,Numeric,Median of topcoded values for TJSOTDEBTVAL,0,Assets,Joint Other Debt,Person
TJSOTDT_STD,Numeric,Standard deviation of topcoded values for TJSOTDEBTVAL,0,Assets,Joint Other Debt,Person
EJOOWNRE,Numeric,Owned any other real estate jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Real Estate,Person
EJSOWNRE,Numeric,Owned any other real estate jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Real Estate,Person
EOOWNRE,Numeric,Owned any other real estate individually during the reference period.,1,Assets,Joint Real Estate,Person
EJOOWNRP,Numeric,Owned any rental properties jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Rental Property,Person
EJSOWNRP,Numeric,Owned any rental properties jointly during the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Rental Property,Person
EOOWNRP,Numeric,Owned any rental properties individually during the reference period.,1,Assets,Joint Rental Property,Person
TJOGRNC_MED,Numeric,Median of topcoded values for TJORPGROINC,0,Assets,Joint Rental Property,Person
TJOGRNC_STD,Numeric,Standard deviation of topcoded values for TJORPGROINC,0,Assets,Joint Rental Property,Person
TJONET_BMED,Numeric,Median of bottomcoded values for TJORPNETINC,0,Assets,Joint Rental Property,Person
TJONET_BSTD,Numeric,Standard deviation of bottomcoded values for TJORPNETINC,0,Assets,Joint Rental Property,Person
TJONET_TMED,Numeric,Median of topcoded values for TJORPNETINC,0,Assets,Joint Rental Property,Person
TJONET_TSTD,Numeric,Standard deviation of topcoded values for TJORPNETINC,0,Assets,Joint Rental Property,Person
TJORPDEBTVAL,Numeric,Share of total debt against jointly-owned rental property as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Rental Property,Person
TJORPDT_MED,Numeric,Median of topcoded values for TJORPDEBTVAL,0,Assets,Joint Rental Property,Person
TJORPDT_STD,Numeric,Standard deviation of topcoded values for TJORPDEBTVAL,0,Assets,Joint Rental Property,Person
TJORPGROINC,Numeric,Share of total gross income earned over the reference period from jointly-owned rental property [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Rental Property,Person
TJORPNETINC,Numeric,Share of net income earned over the reference period from jointly-owned rental property [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Rental Property,Person
TJORPVAL,Numeric,Share of value of jointly-owned rental property as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Joint Rental Property,Person
TJORPVL_MED,Numeric,Median of topcoded values for TJORPVAL,0,Assets,Joint Rental Property,Person
TJORPVL_STD,Numeric,Standard deviation of topcoded values for TJORPVAL,0,Assets,Joint Rental Property,Person
TJSGRNC_MED,Numeric,Median of topcoded values for TJSRPGROINC,0,Assets,Joint Rental Property,Person
TJSGRNC_STD,Numeric,Standard deviation of topcoded values for TJSRPGROINC,0,Assets,Joint Rental Property,Person
TJSNET_BMED,Numeric,Median of bottomcoded values for TJSRPNETINC,0,Assets,Joint Rental Property,Person
TJSNET_BSTD,Numeric,Standard deviation of bottomcoded values for TJSRPNETINC,0,Assets,Joint Rental Property,Person
TJSNET_TMED,Numeric,Median of topcoded values for TJSRPNETINC,0,Assets,Joint Rental Property,Person
TJSNET_TSTD,Numeric,Standard deviation of topcoded values for TJSRPNETINC,0,Assets,Joint Rental Property,Person
